 ['Kyle O&#x27;Connor', '627', '44.44'],
 ['Nicholas Chen', '628', '44.46'],
 ['Seth Burger', '629', '44.47'],
 ['Will Bestic', '630', '44.48'],
 ['Parker Buhl', '631', '44.56'],
 ['Eli Drewes', '632', '44.58'],
 ['Teddy Sykes', '633', '44.60'],
 ['Clark Montgomery', '634', '44.62'],
 ['Nate Greenberg', '635', '44.64'],
 ['Merrick Blackman', '636', '44.65'],
 ['Xavier Hamilton', '637', '44.66'],
 ['Rajko Radakovic', '638', '44.67'],
 ['Zach Hirata', '639', '44.68'],
 ['Derek Carranza', '640', '44.69'],
 ['Wesley Wynn', '641', '44.76'],
 ['Charley Sutorus', '642', '44.83'],
 ['Joey Curcio', '643', '44.84'],
 ['Alex Muldowney', '644', '44.90'],
 ['Luca Sanchez', '645', '44.91'],
 ['Daniel Ma', '646', '44.92'],
